INFO  - 2015-12-10 13:02:57.304; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70205 (1520171983624470528)]} 0 1
INFO  - 2015-12-10 13:02:57.356; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70206 (1520171983675850752)]} 0 4
INFO  - 2015-12-10 13:02:57.410; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70207 (1520171983731425280)]} 0 5
INFO  - 2015-12-10 13:02:57.458; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70208 (1520171983782805504)]} 0 4
INFO  - 2015-12-10 13:02:57.503; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70209 (1520171983832088576)]} 0 2
INFO  - 2015-12-10 13:02:57.544; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70210 (1520171983876128768)]} 0 1
INFO  - 2015-12-10 13:02:57.654; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70212 (1520171983990423552)]} 0 2
INFO  - 2015-12-10 13:02:57.699; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70213 (1520171984038658048)]} 0 1
INFO  - 2015-12-10 13:02:57.745; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70214 (1520171984086892544)]} 0 1
INFO  - 2015-12-10 13:02:57.787; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70215 (1520171984130932736)]} 0 1
INFO  - 2015-12-10 13:02:57.831; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70216 (1520171984177070080)]} 0 1
INFO  - 2015-12-10 13:02:57.907; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70217 (1520171984256761856)]} 0 1
INFO  - 2015-12-10 13:02:57.951; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70218 (1520171984302899200)]} 0 1
